# Propeller Dynamometer Test
# Recorded: 2026-03-07T20:30:48.797796
# Points:   101
# Columns:  PWM_US, THRUST_LBS, CURRENT_AMPS
#
PWM_US,THRUST_LBS,CURRENT_AMPS
1000,0.0000,0.0000
1010,0.0000,0.0000
1020,0.0000,0.0000
1030,0.0000,0.0415
1040,0.0001,0.0000
1050,0.0000,0.0000
1060,0.0002,0.0000
1070,0.0000,0.0000
1080,0.0000,0.0000
1090,0.0000,0.0000
1100,0.0000,0.0000
1110,0.0000,0.0087
1120,0.0000,0.0240
1130,0.0003,0.0000
1140,0.0001,0.0000
1150,0.0000,0.0000
1160,0.0002,0.0000
1170,0.0000,0.0022
1180,0.0000,0.0000
1190,0.0000,0.0000
1200,0.0000,0.0000
1210,0.0000,0.0000
1220,0.0195,0.1789
1230,0.0540,0.2618
1240,0.0768,0.2793
1250,0.0968,0.3360
1260,0.1172,0.4233
1270,0.1377,0.4625
1280,0.1578,0.5629
1290,0.1796,0.6829
1300,0.2010,0.7156
1310,0.2205,0.7789
1320,0.2406,0.9600
1330,0.2612,0.9382
1340,0.2857,1.0298
1350,0.3048,1.1498
1360,0.3287,1.1804
1370,0.3547,1.2938
1380,0.3716,1.3505
1390,0.3998,1.5360
1400,0.4269,1.5775
1410,0.4435,1.7847
1420,0.4682,1.9069
1430,0.4930,1.8938
1440,0.5290,2.0924
1450,0.5710,2.4873
1460,0.5998,2.5658
1470,0.6410,2.7644
1480,0.6769,3.0851
1490,0.7170,3.3425
1500,0.7519,10.9898
1510,0.7885,3.5564
1520,0.8435,4.1542
1530,0.8826,3.9927
1540,0.9216,4.5709
1550,0.9740,4.4509
1560,0.9768,4.7105
1570,1.0144,5.5636
1580,1.0738,5.4480
1590,1.1007,6.0873
1600,1.1444,5.9804
1610,1.1834,6.6153
1620,1.2181,6.9818
1630,1.2701,7.2305
1640,1.3413,7.4553
1650,1.3623,8.0291
1660,1.4134,8.6662
1670,1.4829,8.6727
1680,1.5075,9.2356
1690,1.5534,9.6655
1700,1.5957,10.3178
1710,1.6465,10.2545
1720,1.6811,10.6887
1730,1.7138,11.4785
1740,1.7538,11.9760
1750,1.7851,12.0065
1760,1.8250,12.4407
1770,1.8795,13.1018
1780,1.9079,13.4269
1790,1.9903,14.5702
1800,1.9836,14.5942
1810,1.9620,14.3236
1820,1.9428,14.3891
1830,1.9345,14.5200
1840,1.9187,14.6204
1850,1.9378,14.6596
1860,1.9475,14.0225
1870,1.9032,14.2822
1880,1.9180,13.9527
1890,1.9350,13.5905
1900,1.9059,13.8698
1910,1.9164,14.2604
1920,1.9162,14.3585
1930,1.9135,14.1556
1940,1.9255,14.6880
1950,1.9270,14.3367
1960,1.9130,14.2865
1970,1.8967,13.7913
1980,1.9104,13.6647
1990,1.9048,14.2844
2000,1.8960,13.9571
